user_id,email,role,timezone,window_days,worklogs_count_window,avg_weekly_logged_hours,capacity_hours_per_week,over_capacity_ratio,after_hours_worklog_ratio,blocked_task_ratio,overdue_open_task_ratio,reopen_events_window,active_projects_window,status_transitions_window,avg_task_cycle_hours_window,days_since_last_activity,burnout_label
69cd568caed33e030bac07d7,dev@agileai.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69cd65c9fee1bf3cbcd57112,verified.dev@agileai.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69cf4e4259044aa5c7ee9904,alice@agileai.com,developer,,30,5,1.638,40,0.04095,,0,0,0,18,47,0.26480858187134504,0.10026805555555555,
69cf4e4259044aa5c7ee9905,bob@agileai.com,developer,,30,4,2.3356666666666666,40,0.05839166666666666,,0,0,2,18,56,5.8288216820987655,0.10019059027777778,
69cf4e4259044aa5c7ee9906,charlie@agileai.com,developer,,30,4,1.638,40,0.04095,,0,0,0,15,46,0.0002821851851851852,0.10007846064814815,
69cf691421b7ef00596159f9,david@agileai.com,developer,,30,3,0.47133333333333327,40,0.011783333333333331,,0,0,1,16,46,0.0027321180555555558,0.10000510416666666,
69cf691521b7ef00596159fc,eve@agileai.com,developer,,30,0,0,40,0,,0,0,0,15,42,0.002919629629629631,10.571303831018518,
69cf94c5b20ac21034122052,pm1@test.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69cf9697b20ac2103412206c,dev1@testx.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69cf96a9b20ac2103412206f,dev2@testx.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69cf96bab20ac21034122072,dev3@testx.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69cf96d1b20ac21034122075,dev4@testx.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69cf96e5b20ac21034122078,dev5@testx.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d039cf65d8d193247d3620,admin_test@example.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d03b5265d8d193247d3624,admin@test.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d047058d80762347584d12,real_pm@agileai.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d047618d80762347584d5c,proper_pm@agileai.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d0477f8d80762347584d68,pm_v3@agileai.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d0479d8d80762347584d74,legend_pm@agileai.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d047d58d80762347584d8a,ultra_pm@agileai.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d048008d80762347584d99,super_pm@agileai.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d0caf45be5b0f89f7fd0cd,admin@example.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d0cb615be5b0f89f7fd0d2,myadmin@agileai.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d0cb9d5be5b0f89f7fd0d6,devuser123@example.com,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d0cc055be5b0f89f7fd0da,admin@agileai.corp,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d10c82a0104afe843b87be,outsider.2026-04-04t13-04-31-345z@agileai.local,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d10e2f97670b459f14a7a0,outsider.2026-04-04t13-11-28-877z@agileai.local,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d11a879885e396d86bfbe9,outsider.2026-04-04t14-04-09-292z@agileai.local,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d11d9bd223453f0fb4a61d,outsider.2026-04-04t14-17-22-379z@agileai.local,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d14602cf88470c3c43acd2,outsider.2026-04-04t17-09-07-121z@agileai.local,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d14751ec26f8132b0f0e0d,outsider.2026-04-04t17-14-14-663z@agileai.local,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d16764d08d9fb7d7943435,outsider.2026-04-04t19-32-20-525z@agileai.local,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d168bad08d9fb7d794381a,outsider.2026-04-04t19-38-19-198z@agileai.local,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d16980d08d9fb7d7943be5,outsider.2026-04-04t19-41-37-929z@agileai.local,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69d6836c5be25adebb2a86a5,outsider.scope.1775666028541@agileai.local,developer,,30,0,0,40,0,,0,0,0,0,0,,,
69e4b2ca97afa54ad899f723,devalpha@agileai.com,developer,,30,2,5.133333333333334,40,0.12833333333333335,,0,0,0,1,2,,0.06397982638888888,
69e4b2cb97afa54ad899f74b,devbeta@agileai.com,developer,,30,2,1.4023333333333334,40,0.03505833333333334,,0,0,0,1,2,0.0004930555555555556,0.06397982638888888,
69e4b2ce97afa54ad899f773,devgamma@agileai.com,developer,,30,1,0.4666666666666667,40,0.011666666666666667,,0,0,0,1,1,,0.07016689814814815,
69e4b2ce97afa54ad899f79b,devdelta@agileai.com,developer,,30,0,0,40,0,,0,0,0,1,0,,0.07114365740740741,
